"n_partit","dia","grup","partit"
1,2026-06-11 21:00:00.000,A,Mèxic - Sud-Àfrica
2,2026-06-12 04:00:00.000,A,Corea Sud - Txèquia
3,2026-06-12 21:00:00.000,B,Canadà - Bosnia
4,2026-06-13 03:00:00.000,D,EUA - Paraguai
5,2026-06-13 21:00:00.000,B,Qatar - Suïssa
6,2026-06-14 00:00:00.000,C,Brasil - Marroc
7,2026-06-14 03:00:00.000,C,Haití - Escòcia
8,2026-06-14 06:00:00.000,D,Australia - Turquia
9,2026-06-14 19:00:00.000,E,Alemanya - Curaçao
10,2026-06-14 22:00:00.000,F,Països Baixos - Japó
11,2026-06-15 01:00:00.000,E,Costa d’Ivori - Equador
12,2026-06-15 04:00:00.000,F,Suècia - Tunísia
13,2026-06-15 18:00:00.000,H,Espanya - Cabo Verde
14,2026-06-15 21:00:00.000,G,Bèlgica - Egipte
15,2026-06-16 00:00:00.000,H,Aràbia Saudí - Uruguay
16,2026-06-16 03:00:00.000,G,Iran - Nova Zelanda
17,2026-06-16 21:00:00.000,I,França - Senegal
18,2026-06-17 00:00:00.000,I,Iraq - Noruega
19,2026-06-17 03:00:00.000,J,Argentina - Algèria
20,2026-06-17 06:00:00.000,J,Austria - Jordania
21,2026-06-17 19:00:00.000,K,Portugal - RD Congo
22,2026-06-17 22:00:00.000,L,Anglaterra - Croàcia
23,2026-06-18 01:00:00.000,L,Ghana - Panamà
24,2026-06-18 04:00:00.000,K,Uzbekistan - Colòmbia
25,2026-06-18 18:00:00.000,A,Txèquia - Sud-Àfrica
26,2026-06-18 21:00:00.000,B,Suïssa - Bosnia
27,2026-06-19 00:00:00.000,B,Canadà - Qatar
28,2026-06-19 03:00:00.000,A,Mèxic - Corea Sud
29,2026-06-19 21:00:00.000,D,EUA - Australia
30,2026-06-20 00:00:00.000,C,Escòcia - Marroc
31,2026-06-20 02:30:00.000,C,Brasil - Haití
32,2026-06-20 05:00:00.000,D,Turquia - Paraguai
33,2026-06-20 19:00:00.000,F,Països Baixos - Suècia
34,2026-06-20 22:00:00.000,E,Alemanya - Costa d’Ivori
35,2026-06-21 02:00:00.000,E,Equador - Curaçao
36,2026-06-21 06:00:00.000,F,Tunísia - Japó
37,2026-06-21 18:00:00.000,H,Espanya - Aràbia Saudí
38,2026-06-21 21:00:00.000,G,Bèlgica - Iran
39,2026-06-22 00:00:00.000,H,Uruguay - Cabo Verde
40,2026-06-22 03:00:00.000,G,Nova Zelanda - Egipte
41,2026-06-22 19:00:00.000,J,Argentina - Austria
42,2026-06-22 23:00:00.000,I,França - Iraq
43,2026-06-23 02:00:00.000,I,Noruega - Senegal
44,2026-06-23 05:00:00.000,J,Jordania - Algèria
45,2026-06-23 19:00:00.000,K,Portugal - Uzbekistan
46,2026-06-23 22:00:00.000,L,Anglaterra - Ghana
47,2026-06-24 01:00:00.000,L,Panamà - Croàcia
48,2026-06-24 04:00:00.000,K,Colòmbia - RD Congo
49,2026-06-24 21:00:00.000,B,Bosnia - Qatar
50,2026-06-24 21:00:00.000,B,Suïssa - Canadà
51,2026-06-25 00:00:00.000,C,Marroc - Haití
52,2026-06-25 00:00:00.000,C,Escòcia - Brasil
54,2026-06-25 03:00:00.000,A,Sud-Àfrica - Corea Sud
53,2026-06-25 03:00:00.000,A,Txèquia - Mèxic
55,2026-06-25 22:00:00.000,E,Curaçao - Costa d’Ivori
56,2026-06-25 22:00:00.000,E,Equador - Alemanya
58,2026-06-26 01:00:00.000,F,Tunísia - Països Baixos
57,2026-06-26 01:00:00.000,F,Japó - Suècia
59,2026-06-26 04:00:00.000,D,Paraguai - Austràlia
60,2026-06-26 04:00:00.000,D,Turquia - EUA
62,2026-06-26 21:00:00.000,I,Senegal - Iraq
61,2026-06-26 21:00:00.000,I,Noruega - França
64,2026-06-27 02:00:00.000,H,Uruguai - Espanya
63,2026-06-27 02:00:00.000,H,Cabo Verde - Aràbia Saudí
65,2026-06-27 05:00:00.000,G,Egipte - Iran
66,2026-06-27 05:00:00.000,G,Nova Zelanda - Bèlgica
68,2026-06-27 23:00:00.000,L,Panamà - Anglaterra
67,2026-06-27 23:00:00.000,L,Croàcia - Ghana
70,2026-06-28 01:30:00.000,K,RD Congo - Uzbekistan
69,2026-06-28 01:30:00.000,K,Colòmbia - Portugal
71,2026-06-28 04:00:00.000,J,Algèria - Austria
72,2026-06-28 04:00:00.000,J,Jordània - Argentina
73,2026-06-28 21:00:00.000,"1/16",Sud-Àfrica - Canadà
74,2026-06-29 19:00:00.000,"1/16",Brasil - Japó
75,2026-06-29 22:30:00.000,"1/16",Alemanya - Paraguai
76,2026-06-30 03:00:00.000,"1/16",Països Baixos - Marroc
77,2026-06-30 19:00:00.000,"1/16",Costa d'Ivori - Noruega
78,2026-06-30 23:00:00.000,"1/16",França - Suècia
79,2026-07-01 03:00:00.000,"1/16",Mèxic - Equador
80,2026-07-01 18:00:00.000,"1/16",Anglaterra - RD Congo
81,2026-07-01 22:00:00.000,"1/16",Bèlgica - Senegal
82,2026-07-02 02:00:00.000,"1/16",EUA - Bosnia
83,2026-07-02 21:00:00.000,"1/16",Espanya - Austria
84,2026-07-03 01:00:00.000,"1/16",Portugal - Croàcia
85,2026-07-03 05:00:00.000,"1/16",Suïssa - Algèria
86,2026-07-03 20:00:00.000,"1/16",Austràlia - Egipte
87,2026-07-04 00:00:00.000,"1/16",Argentina - Cabo Verde
88,2026-07-04 03:30:00.000,"1/16",Colòmbia - Ghana
